Month,Exchange,parameter,Trading_Days,IDX_CO,IDX_FUT,IDX_PO,STK_CO,STK_FUT,STK_PO,Total_Futures,Total_Options,Total_Derivatives
31/05/2012,NSE,Turnover,22,"10,43,273.95","2,66,001.65","9,94,662.63","74,826.60","3,03,007.87","38,070.39","5,69,009.52","21,50,833.57","27,19,843.09"
30/06/2012,BSE,Contracts,21,"1,44,16,081.00","8,32,231.00","1,37,38,214.00",0,0,241,"8,32,231.00","2,81,54,536.00","2,89,86,767.00"
30/06/2012,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
30/06/2012,BSE,Turnover,21,"3,69,438.56","20,776.39","3,42,263.57",0,0,4.63,"20,776.39","7,11,706.76","7,32,483.15"
30/06/2012,NSE,Contracts,21,"3,64,55,948.00","1,10,66,729.00","4,08,05,513.00","26,63,531.00","1,24,82,626.00","15,38,086.00","2,35,49,355.00","8,14,63,078.00","10,50,12,433.00"
30/06/2012,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
30/06/2012,NSE,Turnover,21,"9,54,460.78","2,64,304.28","10,09,016.33","69,776.11","3,04,796.42","38,352.54","5,69,100.70","20,71,605.76","26,40,706.46"
31/07/2012,BSE,Contracts,22,"1,71,29,411.00","6,70,155.00","2,01,12,340.00",313,404,195,"6,70,559.00","3,72,42,259.00","3,79,12,818.00"
31/07/2012,BSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/07/2012,BSE,Turnover,22,"4,49,790.22","17,574.99","5,10,754.76",7.87,10.19,4.7,"17,585.18","9,60,557.55","9,78,142.73"
31/07/2012,NSE,Contracts,22,"3,37,04,366.00","90,49,837.00","3,32,78,441.00","29,73,873.00","1,24,36,098.00","17,38,965.00","2,14,85,935.00","7,16,95,645.00","9,31,81,580.00"
31/07/2012,NSE,Premium Turnover,22,0,,0,0,,0,0,0,0
31/07/2012,NSE,Turnover,22,"9,02,156.66","2,24,504.44","8,55,033.52","87,361.06","3,35,785.43","48,242.05","5,60,289.86","18,92,793.29","24,53,083.16"
31/08/2012,BSE,Contracts,21,"1,47,76,020.00","3,32,146.00","1,77,15,286.00",699,"1,059.00","1,136.00","3,33,205.00","3,24,93,141.00","3,28,26,346.00"
31/08/2012,BSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/08/2012,BSE,Turnover,21,"4,11,721.88","8,817.63","4,53,744.64",18.62,28.8,23.21,"8,846.43","8,65,508.35","8,74,354.78"
31/08/2012,NSE,Contracts,21,"3,19,96,945.00","78,81,956.00","3,43,62,496.00","31,94,140.00","1,16,75,491.00","18,80,897.00","1,95,57,447.00","7,14,34,478.00","9,09,91,925.00"
31/08/2012,NSE,Premium Turnover,21,0,,0,0,,0,0,0,0
31/08/2012,NSE,Turnover,21,"8,72,182.33","1,99,628.35","9,00,817.49","92,735.94","3,15,698.94","51,105.55","5,15,327.29","19,16,841.31","24,32,168.60"
30/09/2012,BSE,Contracts,20,"67,05,226.00","1,63,740.00","42,32,131.00",737,"1,799.00","6,052.00","1,65,539.00","1,09,44,146.00","1,11,09,685.00"
30/09/2012,BSE,Premium Turnover,20,0,,0,0,,0,0,0,0
