Month,India G-Secs,Gold_INR,Silver_INR,Gold,Silver,WTI Crude Oil,Brent Oil,Natural Gas,Indian Rupee,Dollar Index
31/12/2010,,58827.718,978.4391,1308.54,21.7588,79.97,82.31,3.872,44.945,78.72
30/11/2010,,58717.4875,910.805,1247.4,19.3713,71.92,74.64,3.816,47.075,83.202
31/10/2010,,54869.2761,836.7451,1181,18.01,78.95,78.18,4.923,46.4075,81.539
30/09/2010,,57705.628,864.7134,1242.38,18.62,75.63,75.01,4.616,46.45,86.019
31/08/2010,,56395.1981,860.0476,1216.3,18.57,73.97,74.65,4.341,46.3675,86.588
31/07/2010,,52309.3148,826.8705,1179.03,18.64,86.15,87.44,3.92,44.365,81.866
30/06/2010,,49907.0177,783.4046,1113.25,17.475,83.76,82.7,3.869,44.9175,81.073
31/05/2010,,51526.9554,759.5802,1117.59,16.475,79.66,77.59,4.813,46.085,80.362
30/04/2010,,49920.1778,748.3061,1081.2,16.21,72.89,71.46,5.131,46.1782,79.462
31/03/2010,,51037.0178,784.9606,1096.98,16.875,79.36,77.93,5.572,46.525,77.86
28/02/2010,,54910.3073,860.4426,1179.63,18.485,77.28,78.47,4.848,46.515,74.879
31/01/2010,,49055.3965,765.3469,1045.45,16.31,77,75.2,5.045,46.975,76.3
31/12/2009,,48475.4042,800.5874,1007.7,16.6475,70.61,69.07,4.841,48.11,76.653
30/11/2009,,46528.1266,729.7413,951.19,14.92,69.96,69.65,2.977,48.825,78.172
31/10/2009,,45860.0562,669.1383,954,13.92,69.45,71.7,3.653,47.935,78.347
30/09/2009,,44381.5834,651.2684,926.5,13.605,69.89,69.3,3.835,47.905,80.133
31/08/2009,,46133.8258,741.5903,979.18,15.745,66.31,65.52,3.835,47.0913,79.348
31/07/2009,,44463.6069,619.4335,888.2,12.38,51.12,50.8,3.373,50.0925,84.614
30/06/2009,,46645.7751,658.541,919.35,12.975,49.66,49.23,3.776,50.73,85.43
31/05/2009,,48189.2167,670.9573,942.32,13.12,44.76,46.35,4.198,51.1612,88.008
30/04/2009,,45429.4859,620.5726,927.85,12.6725,41.68,45.88,4.417,48.875,85.999
31/03/2009,,42931.3762,554.8962,882.05,11.4,44.6,45.59,5.622,48.8025,81.308
28/02/2009,,40989.6455,516.5829,818.05,10.31,54.43,53.49,6.51,50.1075,86.517
31/01/2009,,35794.3949,486.836,723.85,9.85,67.81,65.32,6.783,49.4575,85.633
31/12/2008,,40912.8955,564.8749,870.95,12.03,100.64,98.17,7.438,46.955,79.448
30/11/2008,,36524.8833,598.0917,831.15,13.61,115.46,114.05,7.943,43.9375,77.381
31/10/2008,,38838.8328,754.1975,914.1,17.75,124.08,123.98,9.119,42.57,73.227
30/09/2008,,39845.243,749.5871,925.4,17.41,140,139.83,13.353,43.04,72.463
31/08/2008,,37374.856,711.453,886.5,16.88,127.35,127.78,11.703,42.4575,72.879
31/07/2008,,35532.3441,682.7456,877.55,16.865,113.46,111.36,10.843,40.495,72.509
30/06/2008,,36780.645,691.3819,916.9,17.235,101.58,100.3,10.101,40.1175,71.802
31/05/2008,,38982.6961,792.9966,973.9,19.815,101.84,100.1,9.366,40.0141,73.714
30/04/2008,,36447.9848,666.0914,926.1,16.915,91.75,92.21,8.074,39.3685,75.178
31/03/2008,,32869.1445,583.1451,833.7,14.795,95.98,93.85,7.483,39.4125,76.695
29/02/2008,,30991.324,554.355,783.55,14.005,88.71,88.26,7.302,39.5987,76.147
31/01/2008,,31346.0037,570.1815,796.8,14.495,94.53,90.63,8.33,39.3256,76.479
31/12/2007,,29572.9742,547.4343,743.6,13.765,81.66,79.17,6.87,39.845,77.719
30/11/2007,,27573.8334,494.0865,673.3,12.075,74.04,72.69,5.468,40.93,80.791
31/10/2007,,26862.4641,520.2604,664.3,12.865,78.21,77.05,6.191,40.3675,80.77
30/09/2007,,26457.2141,505.6016,649.65,12.415,70.68,71.41,6.773,40.7225,81.92
31/08/2007,,26843.5833,546.0173,660.5,13.435,64.01,68.04,7.935,40.6115,82.301
31/07/2007,,27945.3529,552.5642,678.45,13.415,65.71,67.65,7.863,41.1775,81.447
30/06/2007,,28858.1343,581.4449,663.8,13.375,65.87,68.1,7.73,43.475,82.93
31/05/2007,,29633.7926,625.3491,669.35,14.125,61.79,61.89,7.3,44.2938,83.57
30/04/2007,,28832.273,597.264,653.2,13.525,58.14,57.4,7.667,44.1825,84.6
31/03/2007,,28180.5639,571.399,636.7,12.905,61.05,60.86,6.299,44.27,83.65
28/02/2007,,28988.2828,624.9482,648,13.96,63.13,64.26,8.844,44.747,82.95
31/01/2007,,27313.6732,553.163,606.6,12.29,58.73,59.03,7.534,45.0325,85.32
31/12/2006,,27495.5326,525.6119,598.3,11.44,62.91,62.48,5.62,45.8675,86.03
30/11/2006,,29195.3238,601.0805,627.3,12.915,70.26,70.25,6.048,46.44,85.05
31/10/2006,,29648.6735,532.2095,636.75,11.43,74.4,75.15,8.211,46.5,85.3
30/09/2006,,28353.7338,511.0443,615.85,11.1,73.93,73.51,6.104,46.04,85.16
31/08/2006,,29917.9137,582.1754,645.2,12.54,71.29,70.41,6.384,46.37,84.72
31/07/2006,,29370.6031,615.7547,654.43,13.72,71.88,72.5,6.555,44.88,86.11
30/06/2006,,26047.6535,514.2601,583.65,11.505,66.63,65.91,7.21,44.6225,89.73
31/05/2006,,24938.4522,432.776,561.55,9.745,61.41,61.76,6.714,44.39,90.11
30/04/2006,,25100.6534,434.337,568.9,9.845,67.92,65.99,9.316,44.1175,88.96
31/03/2006,,23296.0223,397.2042,517,8.815,61.04,58.98,11.225,45.05,91.17
28/02/2006,,22642.2332,378.3809,493.08,8.24,57.32,55.05,12.587,45.9288,91.57
31/01/2006,,20993.6119,341.4056,465.19,7.575,59.76,58.1,12.205,45.1637,90.07
31/12/2005,,20638.6021,328.1311,469.3,7.455,66.24,63.48,13.921,44.015,89.52
30/11/2005,,19218.4027,301.7651,435.2,6.83,68.94,67.02,11.472,44.15,87.58
31/10/2005,,18687.7014,313.273,429.8,7.205,60.57,59.37,7.885,43.48,89.35
30/09/2005,,18937.7015,306.786,435.5,7.045,56.5,55.58,6.981,43.485,89.09
31/08/2005,,18233.803,323.598,417.25,7.405,51.97,50.73,6.379,43.7,87.76
31/07/2005,,18911.1019,300.391,434.4,6.905,49.72,51.09,6.585,43.535,84.43
30/06/2005,,18738.1018,311.245,428.35,7.115,55.4,54.29,7.653,43.745,84.06
31/05/2005,,19027.0023,318.609,435.65,7.295,51.75,50.06,6.73,43.675,82.51
30/04/2005,,18471.7014,294.017,422.6,6.725,48.2,45.92,6.321,43.72,83.57
31/03/2005,,19055.0023,296.505,438.45,6.8225,43.45,40.46,6.149,43.46,80.85
28/02/2005,,20128.102,343.689,450.95,7.7,49.13,45.51,7.62,44.635,81.82
31/01/2005,,19450.8031,330.647,428.55,7.285,51.76,48.98,8.725,45.3875,84.91
31/12/2004,,19218.5023,316.595,418.25,6.89,49.64,46.38,6.795,45.95,87.37
30/11/2004,,18998.0023,313.119,409.85,6.755,42.12,39.61,5.074,46.3538,88.94
31/10/2004,,18172.0022,303.913,391.05,6.54,43.8,40.03,6.112,46.47,89.96
30/09/2004,,18159.1018,265.766,394.25,5.77,37.05,34.5,6.155,46.06,88.8
31/08/2004,,17983.6018,278.018,395.55,6.115,39.88,36.58,6.442,45.465,88.9
31/07/2004,,17210.3028,268.78,386.75,6.04,37.38,34.48,5.862,44.5,90.48
30/06/2004,,18593.2014,345.094,426.45,7.915,35.76,31.51,5.933,43.6,87.61
31/05/2004,,17919.8029,302.622,396.15,6.69,36.16,32.23,5.416,45.235,87.31
30/04/2004,,18216.803,282,402.45,6.23,33.05,29.18,5.397,45.265,87.2
31/03/2004,,18954.9027,271.012,415.45,5.94,32.52,30.17,6.189,45.625,86.92
29/02/2004,,18223.303,244.869,398.15,5.35,30.41,28.45,4.925,45.77,90.23
31/01/2004,,17414.2013,228.866,384.25,5.05,29.11,27.7,4.893,45.32,92.73
31/12/2003,,17633.6017,234.291,385.35,5.12,29.2,27.61,4.83,45.76,92.85
30/11/2003,,17215.2013,233.784,375.55,5.1,31.57,29.49,4.731,45.84,98.1
31/10/2003,,16350.4023,237.4,354.35,5.145,30.54,28.37,4.718,46.142,96.89
30/09/2003,,16103.2021,211.983,346.4,4.56,30.19,28.33,5.411,46.4875,94.73
31/08/2003,,17158.3028,213.272,364.45,4.53,29.56,26.32,6.251,47.08,93.29
31/07/2003,,16021.8017,220.198,338.55,4.6529,25.8,23.68,5.385,47.325,97.19
30/06/2003,,16018.7021,211.716,337.45,4.46,31.04,27.18,5.06,47.47,98.88
31/05/2003,,16682.1016,219.282,349.95,4.6,36.6,32.79,8.101,47.67,99.71
30/04/2003,,17595.7013,231.327,368.15,4.84,33.51,31.1,5.605,47.795,99.91
31/03/2003,,16697.6016,229.32,348.05,4.78,31.2,28.66,4.789,47.975,101.85
28/02/2003,,15373.0018,214.54,318.15,4.44,26.89,25.16,4.2,48.32,106.38
31/01/2003,,15366.3016,218.103,317.75,4.51,27.22,25.72,4.156,48.36,106.64
31/12/2002,,15651.7021,219.622,323.55,4.54,30.45,28.75,4.138,48.375,106.87
30/11/2002,,15171.5018,216.354,312.75,4.46,28.98,27.47,3.296,48.51,106.98
31/10/2002,,14773.702,223.882,303.55,4.6,27.02,25.44,2.954,48.67,107.41
30/09/2002,,15371.8016,236.603,314.45,4.84,26.86,25.58,3.245,48.885,106.11
31/08/2002,,16015.6015,246.696,326.55,5.03,25.31,24.45,3.217,49.045,111.81
31/07/2002,,15098.6014,221.743,308.45,4.53,27.29,26.47,3.795,48.95,115.19
30/06/2002,,14773.8016,227.477,302.65,4.66,26.31,25.92,3.283,48.815,118.62
31/05/2002,,14453.8015,218.842,296.55,4.49,21.74,21.33,2.357,48.74,119.16
