Month,Trades_in_Lakh,Traded_Quantity_in_Lakh,Turnover_in_Crore,ADT_Crore,Avg_Trade_Size,Traded_Quantity_in_DEMAT_in_Lakh,DEMAT_Turnover_in_Crore,Market_Cap_in_Crore,Sensex_Nifty_Close,Market_Cap_BSE_in_Crore,Nifty_Index,Sensex_Index
30/04/2019,"2,401.84","3,85,574.65","6,95,983.20","36,630.69","28,977.07","3,85,574.65","6,95,983.20","1,51,48,651.78","50,779.70","1,52,54,028.06","11,748.15","39,031.55"
31/05/2019,"3,017.27","4,15,055.66","8,46,355.18","38,470.69","28,050.34","4,15,055.66","8,46,355.17","1,53,46,187.92","51,637.00","1,54,38,014.55","11,922.80","39,714.20"
30/06/2019,"2,353.88","3,40,024.66","6,42,988.27","33,841.49","27,316.12","3,40,024.66","6,42,988.27","1,51,14,251.40","51,183.49","1,51,97,087.37","11,788.85","39,394.64"
31/07/2019,"2,775.49","3,73,992.97","7,61,069.32","33,089.97","27,421.06","3,73,992.97","7,61,069.30","1,40,76,270.75","48,599.12","1,41,47,124.63","11,118.00","37,481.12"
31/08/2019,"2,773.56","3,71,812.02","7,24,437.91","36,221.90","26,119.44","3,71,812.02","7,24,437.89","1,40,37,309.88","48,356.04","1,40,98,451.66","11,023.25","37,332.79"
30/09/2019,"2,765.62","3,85,581.85","7,63,188.95","40,167.84","27,595.61","3,85,581.85","7,63,188.95","1,46,45,229.64","50,141.78","1,47,17,456.10","11,474.45","38,667.33"
31/10/2019,"2,819.45","4,53,846.10","8,09,553.39","40,477.67","28,713.13","4,53,846.10","8,09,553.39","1,53,28,398.77","52,006.50","1,54,09,067.51","11,877.45","40,129.05"
30/11/2019,"2,860.01","5,40,959.68","8,88,696.19","44,434.81","31,073.18","5,40,959.68","8,88,696.18","1,53,95,277.79","52,849.86","1,54,75,077.14","12,056.05","40,793.81"
31/12/2019,"2,485.23","4,33,364.33","7,25,543.11","34,549.67","29,194.24","4,33,364.33","7,25,543.09","1,54,92,897.84","53,422.19","1,55,53,829.04","12,168.45","41,253.74"
31/01/2020,"2,924.75","4,53,889.22","8,61,192.74","37,443.16","29,444.95","4,53,889.22","8,61,192.72","1,55,84,044.26","52,685.59","1,56,50,981.73","11,962.10","40,723.49"
29/02/2020,"2,943.61","4,44,311.88","8,52,478.24","42,623.91","28,960.30","4,44,311.88","8,52,478.21","1,46,19,542.19","49,499.04","1,46,87,010.42","11,201.75","38,297.29"
31/03/2020,"4,586.60","6,49,191.49","10,88,220.59","51,820.03","23,726.10","6,49,191.49","10,88,220.60","1,12,95,934.18","38,066.24","1,13,48,756.59","8,597.75","29,468.49"
30/04/2020,"3,955.33","4,66,193.97","9,50,278.56","52,793.26","24,025.26","4,66,193.97","9,50,278.56","1,28,40,123.35","43,577.52","1,29,41,620.82","9,859.90","33,717.62"
31/05/2020,"3,732.27","5,44,190.16","10,65,475.47","56,077.65","28,547.68","5,44,190.16","10,65,475.45","1,26,11,744.27","42,004.40","1,27,06,528.94","9,580.30","32,424.10"
30/06/2020,"4,859.81","9,53,996.74","14,60,873.42","66,403.34","30,060.32","9,53,996.74","14,60,873.39","1,38,60,145.66","45,217.90","1,39,15,689.83","10,302.10","34,915.80"
31/07/2020,"4,464.16","7,66,271.24","14,28,613.72","62,113.64","32,001.83","7,66,271.24","14,28,613.71","1,46,84,387.22","48,680.34","1,47,39,115.83","11,073.45","37,606.89"
31/08/2020,"4,267.86","7,59,120.23","13,75,636.49","65,506.50","32,232.46","7,59,120.23","13,75,636.52","1,53,05,254.71","50,015.79","1,53,76,302.71","11,387.50","38,628.29"
30/09/2020,"3,999.18","6,53,612.36","12,93,354.00","58,788.82","32,340.47","6,53,612.36","12,93,354.00","1,54,14,494.86","49,315.48","1,55,24,267.37","11,247.55","38,067.93"
31/10/2020,"3,546.20","4,73,322.01","11,56,750.07","55,083.34","32,619.42","4,73,322.01","11,56,750.07","1,56,90,076.43","51,256.47","1,57,92,249.91","11,642.40","39,614.07"
30/11/2020,"3,850.33","5,98,856.42","14,07,947.81","70,397.39","36,566.94","5,98,856.42","14,07,947.80","1,73,43,087.02","57,118.67","1,74,14,859.59","12,968.95","44,149.72"
31/12/2020,"4,626.47","8,69,426.28","14,73,966.33","66,998.47","31,859.44","8,69,426.28","14,73,966.33","1,87,25,143.60","61,733.08","1,88,03,518.60","13,981.75","47,751.33"
31/01/2021,"4,585.14","8,25,629.06","15,53,508.11","77,675.41","33,881.36","8,25,629.06","15,53,508.07","1,85,43,547.13","59,920.37","1,86,12,644.03","13,634.60","46,285.77"
28/02/2021,"5,090.72","8,17,724.10","17,72,418.13","88,620.91","34,816.62","8,17,724.10","17,72,418.12","2,00,22,460.68","63,629.14","2,00,81,095.73","14,529.15","49,099.99"
