Month,Sub_Category,No_scheme,No_Folios,Funds_Mobilised_YTD,Redemptions_YTD,Net_Inflow_YTD,Net_AUM,Average_AUM,No_Folios_segregated,AUM_segregated_folio
30-11-2023,Solution Oriented  Schemes,37.00,"57,85,230.00","3,077.84","1,651.45","1,426.39","40,090.63","39,090.35",0.00,0.00
31-12-2023,Growth/Equity Oriented Schemes,444.00,"11,32,77,555.00","3,52,628.51","2,42,293.74","1,10,334.77","21,83,650.65","21,25,193.39",0.00,0.00
31-12-2023,Hybrid Schemes,147.00,"1,27,75,738.00","2,41,266.95","1,40,638.84","1,00,628.10","6,61,425.97","6,69,433.07",5.00,35.14
31-12-2023,Income/Debt Oriented Schemes,411.00,"74,96,818.00","76,60,503.73","76,34,243.97","26,259.76","13,15,824.35","14,15,899.33",7.00,0.00
31-12-2023,Interval Schemes,12.00,"2,621.00",341.83,835.51,"-,493.68",499.91,473.79,0.00,0.00
31-12-2023,Other Schemes,440.00,"2,55,35,572.00","1,40,379.89","1,06,222.86","34,157.03","8,74,072.00","8,56,559.72",0.00,0.00
31-12-2023,Solution Oriented  Schemes,38.00,"58,01,968.00","3,551.38","1,905.03","1,646.35","42,427.44","41,512.38",0.00,0.00
31-01-2024,Growth/Equity Oriented Schemes,447.00,"11,67,49,271.00","4,03,459.28","2,71,375.82","1,32,083.46","22,54,551.94","22,13,372.73",0.00,0.00
31-01-2024,Hybrid Schemes,149.00,"1,31,11,406.00","2,82,484.40","1,61,219.31","1,21,265.09","6,90,568.72","7,00,302.29",5.00,35.14
31-01-2024,Income/Debt Oriented Schemes,413.00,"74,63,828.00","85,70,197.64","84,67,454.33","1,02,743.31","14,01,438.12","14,54,255.75",7.00,0.00
