Month,NSEBANK Index,NSEIT Index,NSEAUTO Index,NSEFIN Index,NSEFMCG Index,NSEPSBK Index,NSEPHRM Index,NSEMET Index,NSEREAL Index,NSEPSE Index,NSEMDSM Index,DEFTY Index,NIFTYJR Index,NSE200 Index,INVIXN Index,NIFTYM50 Index,NSE100 Index,NIFTY Index,S&P500 Index,NIFTYTR Index,CPSE Index,NSECON Index,NIFTYS Index,NSEPBANK Index,NSEINFR Index,NSEAP Index,NSESRV Index,NSEMED Index,NSEMNC Index,NSECMD Index,NSEMNCTR Index,NSEPSUTR Index,BSESML Index,BSEMID Index,BSE500 Index
31/12/1966,,,,,,,,,,,,,,,,,,,80.33,,,,,,,,,,,,,,,,
30/11/1966,,,,,,,,,,,,,,,,,,,80.45,,,,,,,,,,,,,,,,
31/10/1966,,,,,,,,,,,,,,,,,,,80.2,,,,,,,,,,,,,,,,
30/09/1966,,,,,,,,,,,,,,,,,,,76.56,,,,,,,,,,,,,,,,
31/08/1966,,,,,,,,,,,,,,,,,,,77.1,,,,,,,,,,,,,,,,
31/07/1966,,,,,,,,,,,,,,,,,,,83.6,,,,,,,,,,,,,,,,
30/06/1966,,,,,,,,,,,,,,,,,,,84.74,,,,,,,,,,,,,,,,
31/05/1966,,,,,,,,,,,,,,,,,,,86.13,,,,,,,,,,,,,,,,
30/04/1966,,,,,,,,,,,,,,,,,,,91.06,,,,,,,,,,,,,,,,
31/03/1966,,,,,,,,,,,,,,,,,,,89.23,,,,,,,,,,,,,,,,
28/02/1966,,,,,,,,,,,,,,,,,,,91.22,,,,,,,,,,,,,,,,
31/01/1966,,,,,,,,,,,,,,,,,,,92.88,,,,,,,,,,,,,,,,
31/12/1965,,,,,,,,,,,,,,,,,,,92.43,,,,,,,,,,,,,,,,
30/11/1965,,,,,,,,,,,,,,,,,,,91.61,,,,,,,,,,,,,,,,
31/10/1965,,,,,,,,,,,,,,,,,,,92.42,,,,,,,,,,,,,,,,
30/09/1965,,,,,,,,,,,,,,,,,,,89.96,,,,,,,,,,,,,,,,
31/08/1965,,,,,,,,,,,,,,,,,,,87.17,,,,,,,,,,,,,,,,
31/07/1965,,,,,,,,,,,,,,,,,,,85.25,,,,,,,,,,,,,,,,
30/06/1965,,,,,,,,,,,,,,,,,,,84.12,,,,,,,,,,,,,,,,
31/05/1965,,,,,,,,,,,,,,,,,,,88.42,,,,,,,,,,,,,,,,
30/04/1965,,,,,,,,,,,,,,,,,,,89.11,,,,,,,,,,,,,,,,
31/03/1965,,,,,,,,,,,,,,,,,,,86.16,,,,,,,,,,,,,,,,
28/02/1965,,,,,,,,,,,,,,,,,,,87.43,,,,,,,,,,,,,,,,
31/01/1965,,,,,,,,,,,,,,,,,,,87.56,,,,,,,,,,,,,,,,
31/12/1964,,,,,,,,,,,,,,,,,,,84.75,,,,,,,,,,,,,,,,
30/11/1964,,,,,,,,,,,,,,,,,,,84.42,,,,,,,,,,,,,,,,
31/10/1964,,,,,,,,,,,,,,,,,,,84.86,,,,,,,,,,,,,,,,
30/09/1964,,,,,,,,,,,,,,,,,,,84.18,,,,,,,,,,,,,,,,
31/08/1964,,,,,,,,,,,,,,,,,,,81.83,,,,,,,,,,,,,,,,
31/07/1964,,,,,,,,,,,,,,,,,,,83.18,,,,,,,,,,,,,,,,
30/06/1964,,,,,,,,,,,,,,,,,,,81.69,,,,,,,,,,,,,,,,
31/05/1964,,,,,,,,,,,,,,,,,,,80.37,,,,,,,,,,,,,,,,
30/04/1964,,,,,,,,,,,,,,,,,,,79.46,,,,,,,,,,,,,,,,
31/03/1964,,,,,,,,,,,,,,,,,,,78.98,,,,,,,,,,,,,,,,
29/02/1964,,,,,,,,,,,,,,,,,,,77.8,,,,,,,,,,,,,,,,
31/01/1964,,,,,,,,,,,,,,,,,,,77.04,,,,,,,,,,,,,,,,
31/12/1963,,,,,,,,,,,,,,,,,,,75.02,,,,,,,,,,,,,,,,
30/11/1963,,,,,,,,,,,,,,,,,,,73.23,,,,,,,,,,,,,,,,
31/10/1963,,,,,,,,,,,,,,,,,,,74.01,,,,,,,,,,,,,,,,
30/09/1963,,,,,,,,,,,,,,,,,,,71.7,,,,,,,,,,,,,,,,
31/08/1963,,,,,,,,,,,,,,,,,,,72.5,,,,,,,,,,,,,,,,
31/07/1963,,,,,,,,,,,,,,,,,,,69.13,,,,,,,,,,,,,,,,
30/06/1963,,,,,,,,,,,,,,,,,,,69.37,,,,,,,,,,,,,,,,
31/05/1963,,,,,,,,,,,,,,,,,,,70.8,,,,,,,,,,,,,,,,
30/04/1963,,,,,,,,,,,,,,,,,,,69.8,,,,,,,,,,,,,,,,
31/03/1963,,,,,,,,,,,,,,,,,,,66.57,,,,,,,,,,,,,,,,
28/02/1963,,,,,,,,,,,,,,,,,,,64.29,,,,,,,,,,,,,,,,
31/01/1963,,,,,,,,,,,,,,,,,,,66.2,,,,,,,,,,,,,,,,
31/12/1962,,,,,,,,,,,,,,,,,,,63.1,,,,,,,,,,,,,,,,
30/11/1962,,,,,,,,,,,,,,,,,,,62.26,,,,,,,,,,,,,,,,
31/10/1962,,,,,,,,,,,,,,,,,,,56.52,,,,,,,,,,,,,,,,
30/09/1962,,,,,,,,,,,,,,,,,,,56.27,,,,,,,,,,,,,,,,
31/08/1962,,,,,,,,,,,,,,,,,,,59.12,,,,,,,,,,,,,,,,
31/07/1962,,,,,,,,,,,,,,,,,,,58.23,,,,,,,,,,,,,,,,
30/06/1962,,,,,,,,,,,,,,,,,,,54.75,,,,,,,,,,,,,,,,
31/05/1962,,,,,,,,,,,,,,,,,,,59.63,,,,,,,,,,,,,,,,
